"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2025","1,413.35","1,458.25","1,465.55","1,411.45","31.07K","-3.09%"
"07/13/2025","1,458.40","1,472.45","1,473.10","1,457.65","1.53K","-0.78%"
"07/11/2025","1,469.90","1,414.70","1,477.70","1,406.30","39.55K","4.06%"
"07/10/2025","1,412.50","1,388.90","1,439.80","1,381.70","40.12K","1.96%"
"07/09/2025","1,385.30","1,389.00","1,405.00","1,366.60","27.16K","-0.43%"
"07/08/2025","1,391.30","1,382.80","1,402.30","1,357.30","40.14K","1.31%"
"07/07/2025","1,373.30","1,412.40","1,413.00","1,354.10","46.04K","-2.45%"
"07/06/2025","1,407.75","1,412.00","1,413.00","1,402.60","1.17K","0.05%"
"07/04/2025","1,407.10","1,394.05","1,409.80","1,382.30","13.92K","1.81%"
"07/03/2025","1,382.10","1,436.20","1,439.30","1,365.00","46.06K","-3.59%"
"07/02/2025","1,433.50","1,369.70","1,447.90","1,359.10","39.90K","5.51%"
"07/01/2025","1,358.70","1,365.30","1,378.50","1,340.50","37.60K","1.17%"
"06/30/2025","1,343.00","1,350.10","1,388.40","1,336.30","34.50K","-0.66%"
"06/27/2025","1,351.90","1,427.30","1,440.50","1,333.00","52.91K","-4.23%"
"06/26/2025","1,411.60","1,411.60","1,411.60","1,411.60","12.30K","5.11%"
"06/25/2025","1,343.00","1,331.10","1,377.90","1,308.00","35.47K","1.57%"
"06/24/2025","1,322.20","1,304.40","1,336.50","1,281.50","34.13K","2.11%"
"06/23/2025","1,294.90","1,269.90","1,310.70","1,246.90","28.37K","2.40%"
"06/20/2025","1,264.50","1,322.40","1,343.40","1,252.00","81.73K","-2.42%"
"06/19/2025","1,295.85","1,327.35","1,343.25","1,262.90","39.75K","-1.31%"
"06/18/2025","1,313.10","1,263.90","1,331.10","1,251.00","46.75K","4.07%"
"06/17/2025","1,261.70","1,242.00","1,275.20","1,230.00","39.48K","0.68%"
"06/16/2025","1,253.20","1,212.50","1,269.10","1,206.90","44.00K","3.41%"
"06/13/2025","1,211.90","1,293.40","1,300.50","1,201.00","65.14K","-4.96%"
"06/12/2025","1,275.10","1,243.00","1,293.00","1,228.10","59.22K","1.23%"
"06/11/2025","1,259.60","1,219.60","1,279.90","1,217.50","71.10K","3.88%"
"06/10/2025","1,212.50","1,226.20","1,232.00","1,206.20","50.28K","-0.16%"
"06/09/2025","1,214.50","1,176.70","1,228.50","1,171.30","56.40K","3.97%"
"06/06/2025","1,168.10","1,142.10","1,182.70","1,139.50","57.77K","2.78%"
"06/05/2025","1,136.50","1,086.40","1,152.50","1,085.20","60.28K","4.27%"
"06/04/2025","1,090.00","1,075.30","1,092.40","1,072.20","30.94K","1.78%"
"06/03/2025","1,070.90","1,066.00","1,076.20","1,049.20","30.69K","0.72%"
"06/02/2025","1,063.20","1,053.20","1,070.50","1,041.90","39.66K","0.79%"
"05/30/2025","1,054.90","1,082.00","1,082.60","1,050.50","31.56K","-2.27%"
"05/29/2025","1,079.40","1,075.30","1,096.00","1,066.50","29.91K","0.93%"
"05/28/2025","1,069.50","1,079.40","1,086.20","1,071.00","0.06K","-0.69%"
"05/27/2025","1,076.90","1,096.70","1,096.70","1,070.50","0.09K","-0.85%"
"05/26/2025","1,086.10","1,092.55","1,097.35","1,084.60","13.98K","-0.59%"
"05/25/2025","1,092.60","1,091.50","1,098.80","1,087.20","47.90K","0.36%"
"05/23/2025","1,088.70","1,089.50","1,102.00","1,080.10","0.09K","0.94%"
"05/22/2025","1,078.60","1,076.40","1,086.00","1,069.80","0.06K","-0.53%"
"05/21/2025","1,084.40","1,060.20","1,089.70","1,047.70","62.94K","2.75%"
"05/20/2025","1,055.40","1,006.10","1,061.00","1,003.00","54.88K","4.92%"
"05/19/2025","1,005.90","990.20","1,009.60","987.10","29.01K","1.59%"
"05/16/2025","990.20","994.20","996.80","982.90","19.11K","-0.52%"
"05/15/2025","995.40","982.00","995.90","968.50","24.87K","1.45%"
"05/14/2025","981.20","985.00","998.80","978.70","23.49K","-1.11%"
"05/13/2025","992.20","978.10","993.70","976.10","21.53K","1.70%"
"05/12/2025","975.60","999.20","1,009.00","973.70","35.98K","-2.60%"
"05/09/2025","1,001.60","980.30","1,003.50","976.80","27.48K","2.26%"
"05/08/2025","979.50","979.60","990.00","975.20","21.19K","-0.38%"
"05/07/2025","983.20","992.10","995.40","977.10","21.08K","-0.90%"
"05/06/2025","992.10","964.60","993.90","962.40","27.55K","3.26%"
"05/05/2025","960.80","967.60","975.60","957.00","21.00K","-0.55%"
"05/02/2025","966.10","973.60","983.50","964.00","21.70K","-0.10%"
"05/01/2025","967.10","969.80","975.30","959.70","22.45K","-0.24%"
"04/30/2025","969.40","982.60","983.80","964.10","23.52K","-1.63%"
"04/29/2025","985.50","995.20","998.50","978.90","21.31K","-0.77%"
"04/28/2025","993.10","972.00","995.70","972.00","0.06K","2.40%"
"04/25/2025","969.80","969.30","972.80","965.00","0.04K","-0.72%"
"04/24/2025","976.80","973.50","979.70","973.50","0.02K","0.14%"
"04/23/2025","975.40","954.60","977.90","953.00","0.06K","1.71%"
"04/22/2025","959.00","966.00","971.60","954.80","0.02K","-0.84%"
"04/21/2025","967.10","977.00","986.00","965.10","20.29K","-1.01%"
"04/17/2025","977.00","976.80","979.80","959.00","21.58K","-0.32%"
"04/16/2025","980.10","970.40","984.50","964.00","24.14K","1.05%"
"04/15/2025","969.90","955.80","973.00","954.60","20.24K","1.30%"
"04/14/2025","957.50","948.10","964.00","947.80","29.81K","1.37%"
"04/11/2025","944.60","929.80","951.50","925.50","30.96K","1.21%"
"04/10/2025","933.30","936.00","943.90","926.90","28.31K","1.46%"
"04/09/2025","919.90","910.60","935.50","900.10","30.21K","0.94%"
"04/08/2025","911.30","914.40","927.30","907.40","27.71K","0.60%"
"04/07/2025","905.90","906.90","928.00","878.30","51.24K","-0.95%"
"04/04/2025","914.60","956.60","957.20","910.70","46.18K","-4.39%"
"04/03/2025","956.60","1,007.00","1,007.10","950.30","47.25K","-3.88%"
"04/02/2025","995.20","1,007.10","1,012.10","990.00","28.32K","-0.94%"
"04/01/2025","1,004.60","1,028.30","1,031.50","1,003.30","28.98K","-2.23%"
"03/31/2025","1,027.50","999.10","1,031.60","995.40","36.58K","3.15%"
"03/28/2025","996.10","1,005.80","1,012.00","987.30","27.73K","0.17%"
"03/27/2025","994.40","994.40","994.40","994.40","12.14K","0.99%"
"03/26/2025","984.70","987.70","992.20","981.50","22.25K","-0.29%"
"03/25/2025","987.60","980.80","996.60","977.90","23.61K","1.02%"
"03/24/2025","977.60","994.30","998.80","977.40","20.24K","-0.08%"
"03/21/2025","978.40","994.00","994.80","974.60","28.62K","-1.37%"
"03/20/2025","992.00","1,009.10","1,013.80","989.60","27.13K","-1.72%"
"03/19/2025","1,009.40","1,020.30","1,021.50","1,000.70","29.63K","-1.37%"
"03/18/2025","1,023.40","1,024.80","1,036.30","1,018.80","25.21K","-0.30%"
"03/17/2025","1,026.50","1,011.20","1,027.90","1,007.50","24.83K","1.31%"
"03/14/2025","1,013.20","1,010.40","1,022.60","1,005.50","31.54K","0.72%"
"03/13/2025","1,006.00","996.30","1,011.90","976.20","37.85K","1.02%"
"03/12/2025","995.80","985.20","1,003.80","984.70","29.28K","1.65%"
"03/11/2025","979.60","964.50","990.50","956.40","39.68K","1.32%"
"03/10/2025","966.80","969.90","982.40","961.50","29.86K","0.03%"
"03/07/2025","966.50","979.80","987.20","964.50","28.15K","-1.35%"
"03/06/2025","979.70","976.90","989.20","966.80","30.81K","0.50%"
"03/05/2025","974.80","971.40","985.00","965.90","31.48K","0.30%"
"03/04/2025","971.90","970.00","975.10","960.30","26.80K","0.00%"
"03/03/2025","971.90","947.10","979.30","946.50","39.25K","3.63%"
"02/28/2025","937.90","952.60","955.70","936.70","33.29K","-2.07%"
"02/27/2025","957.70","975.60","982.70","951.80","31.33K","-1.32%"
"02/26/2025","970.50","968.80","988.60","968.40","0.11K","0.71%"
"02/25/2025","963.70","966.40","968.30","960.00","0.06K","-0.10%"
"02/24/2025","964.70","984.40","989.10","965.20","0.05K","-1.74%"
"02/21/2025","981.80","988.30","997.10","978.90","0.06K","-0.96%"
"02/20/2025","991.30","983.20","992.60","983.20","0.05K","0.52%"
"02/19/2025","986.20","1,009.60","1,011.80","984.10","27.97K","-1.98%"
"02/18/2025","1,006.10","1,012.00","1,018.60","997.50","37.20K","-1.29%"
"02/14/2025","1,019.20","1,048.70","1,058.60","1,009.60","35.84K","-2.30%"
"02/13/2025","1,043.20","1,045.90","1,063.80","1,040.60","25.45K","-0.51%"
"02/12/2025","1,048.50","1,036.90","1,050.00","1,029.30","26.71K","1.24%"
"02/11/2025","1,035.70","1,035.80","1,040.00","1,015.90","24.55K","0.33%"
"02/10/2025","1,032.30","1,008.90","1,041.60","1,003.50","23.93K","1.13%"
